xml:id	ref	role	class	type	english	mandarin	gloss	text	after	lemma	normalized	strong	morph	person	number	gender	case	tense	voice	mood	degree	domain	ln	frame	subjref	referent
n40001002009	MAT 1:2!9		noun	proper			Jacob	Ἰακώβ	,	Ἰακώβ	Ἰακώβ	2384	N-PRI		singular	masculine	accusative					093001	93.157a			
n40001002010	MAT 1:2!10	s	noun	proper			Jacob	Ἰακὼβ	 	Ἰακώβ	Ἰακώβ	2384	N-PRI		singular	masculine	nominative					093001	93.157a			
n40001002011	MAT 1:2!11		conj				then	δὲ	 	δέ	δέ	1161	CONJ									089015	89.87			
n40001002012	MAT 1:2!12	v	verb				begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001002010 A1:n40001002014;n40001002017		
n40001002013	MAT 1:2!13		det				-	τὸν	 	ὁ	τόν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001002014	MAT 1:2!14		noun	proper			Judah	Ἰούδαν	 	Ἰούδας	Ἰούδαν	2455	N-ASM		singular	masculine	accusative					093001	93.173h			
n40001002015	MAT 1:2!15		conj				and	καὶ	 	καί	καί	2532	CONJ									089017	89.92			
n40001002016	MAT 1:2!16		det				the	τοὺς	 	ὁ	τούς	3588	T-APM		plural	masculine	accusative					092004	92.24			
n40001002017	MAT 1:2!17		noun	common			brothers	ἀδελφοὺς	 	ἀδελφός	ἀδελφούς	80	N-APM		plural	masculine	accusative					010003	10.49			
n40001002018	MAT 1:2!18		pron	personal			of him	αὐτοῦ	,	αὐτός	αὐτοῦ	846	P-GSM		singular	masculine	genitive					092004	92.11			n40001002014
n40001003001	MAT 1:3!1	s	noun	proper			Judah	Ἰούδας	 	Ἰούδας	Ἰούδας	2455	N-NSM		singular	masculine	nominative					093001	93.173h			
n40001003002	MAT 1:3!2		conj				then	δὲ	 	δέ	δέ	1161	CONJ									089015	89.87			
n40001003003	MAT 1:3!3	v	verb				begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001003001 A1:n40001003005;n40001003008		
n40001003004	MAT 1:3!4		det				-	τὸν	 	ὁ	τόν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001003005	MAT 1:3!5		noun	proper			Perez	Φαρὲς	 	Φάρες	Φαρές	5329	N-PRI		singular	masculine	accusative					093001	93.374			
n40001003006	MAT 1:3!6		conj				and	καὶ	 	καί	καί	2532	CONJ									089017	89.92			
n40001003007	MAT 1:3!7		det				-	τὸν	 	ὁ	τόν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001003008	MAT 1:3!8		noun	proper			Zerah	Ζαρὰ	 	Ζάρα	Ζαρά	2196	N-PRI		singular	masculine	accusative					093001	93.135			
n40001003009	MAT 1:3!9		prep				out of	ἐκ	 	ἐκ	ἐκ	1537	PREP									089003	89.3			
n40001003010	MAT 1:3!10		det				-	τῆς	 	ὁ	τῆς	3588	T-GSF		singular	feminine	genitive					092004	92.24			
n40001003011	MAT 1:3!11		noun	proper			Tamar	Θάμαρ	,	Θαμάρ	Θάμαρ	2283	N-PRI		singular	feminine	genitive					093001	93.151			
n40001003012	MAT 1:3!12	s	noun	proper			Perez	Φαρὲς	 	Φάρες	Φαρές	5329	N-PRI		singular	masculine	nominative					093001	93.374			
n40001003013	MAT 1:3!13		conj				then	δὲ	 	δέ	δέ	1161	CONJ									089015	89.87			
n40001003014	MAT 1:3!14	v	verb				begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001003012 A1:n40001003016		
n40001003015	MAT 1:3!15		det				-	τὸν	 	ὁ	τόν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001003016	MAT 1:3!16		noun	proper			Hezron	Ἐσρώμ	,	Ἑσρώμ	Ἐσρώμ	2074	N-PRI		singular	masculine	accusative					093001	93.127			
n40001003017	MAT 1:3!17	s	noun	proper			Hezron	Ἐσρὼμ	 	Ἑσρώμ	Ἐσρώμ	2074	N-PRI		singular	masculine	nominative					093001	93.127			
n40001003018	MAT 1:3!18		conj				then	δὲ	 	δέ	δέ	1161	CONJ									089015	89.87			
n40001003019	MAT 1:3!19	v	verb				begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001003017 A1:n40001003021		
n40001003020	MAT 1:3!20		det				-	τὸν	 	ὁ	τόν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001003021	MAT 1:3!21		noun	proper			Ram	Ἀράμ	,	Ἀράμ	Ἀράμ	689	N-PRI		singular	masculine	accusative					093001	93.35			
n40001004001	MAT 1:4!1	s	noun	proper			Ram	Ἀρὰμ	 	Ἀράμ	Ἀράμ	689	N-PRI		singular	masculine	nominative					093001	93.35			
n40001004002	MAT 1:4!2		conj				then	δὲ	 	δέ	δέ	1161	CONJ									089015	89.87			
n40001004003	MAT 1:4!3	v	verb				begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001004001 A1:n40001004005		
n40001004004	MAT 1:4!4		det				-	τὸν	 	ὁ	τόν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001004005	MAT 1:4!5		noun	proper			Amminadab	Ἀμιναδάβ	,	Ἀμιναδάβ	Ἀμιναδάβ	284	N-PRI		singular	masculine	accusative					093001	93.20			
n40001004006	MAT 1:4!6	s	noun	proper			Amminadab	Ἀμιναδὰβ	 	Ἀμιναδάβ	Ἀμιναδάβ	284	N-PRI		singular	masculine	nominative					093001	93.20			
n40001004007	MAT 1:4!7		conj				then	δὲ	 	δέ	δέ	1161	CONJ									089015	89.87			
n40001004008	MAT 1:4!8	v	verb				begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001004006 A1:n40001004010		
n40001004009	MAT 1:4!9		det				-	τὸν	 	ὁ	τόν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001004010	MAT 1:4!10		noun	proper			Nahshon	Ναασσών	,	Ναασσών	Ναασσών	3476	N-PRI		singular	masculine	accusative					093001	93.267			
n40001004011	MAT 1:4!11	s	noun	proper			Nahshon	Ναασσὼν	 	Ναασσών	Ναασσών	3476	N-PRI		singular	masculine	nominative					093001	93.267			
n40001004012	MAT 1:4!12		conj				then	δὲ	 	δέ	δέ	1161	CONJ									089015	89.87			
n40001004013	MAT 1:4!13	v	verb				begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001004011 A1:n40001004015		
n40001004014	MAT 1:4!14		det				-	τὸν	 	ὁ	τόν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001004015	MAT 1:4!15		noun	proper			Salmon	Σαλμών	,	Σαλμών	Σαλμών	4533	N-PRI		singular	masculine	accusative					093001	93.323			
n40001005001	MAT 1:5!1	s	noun	proper			Salmon	Σαλμὼν	 	Σαλμών	Σαλμών	4533	N-PRI		singular	masculine	nominative					093001	93.323			
n40001005002	MAT 1:5!2		conj				then	δὲ	 	δέ	δέ	1161	CONJ									089015	89.87			
n40001005003	MAT 1:5!3	v	verb				begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001005001 A1:n40001005005		
n40001005004	MAT 1:5!4		det				-	τὸν	 	ὁ	τόν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001005005	MAT 1:5!5		noun	proper			Boaz	Βόες	 	Βόες	Βόες	1003	N-PRI		singular	masculine	accusative					093001	93.78			
n40001005006	MAT 1:5!6		prep				out of	ἐκ	 	ἐκ	ἐκ	1537	PREP									089003	89.3			
n40001005007	MAT 1:5!7		det				-	τῆς	 	ὁ	τῆς	3588	T-GSF		singular	feminine	genitive					092004	92.24			
n40001005008	MAT 1:5!8		noun	proper			Rahab	Ῥαχάβ	,	Ῥαχάβ	Ῥαχάβ	4477	N-PRI		singular	feminine	genitive					093001	93.309			
n40001005009	MAT 1:5!9	s	noun	proper			Boaz	Βόες	 	Βόες	Βόες	1003	N-PRI		singular	masculine	nominative					093001	93.78			
n40001005010	MAT 1:5!10		conj				then	δὲ	 	δέ	δέ	1161	CONJ									089015	89.87			
n40001005011	MAT 1:5!11	v	verb				begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001005009 A1:n40001005013		
n40001005012	MAT 1:5!12		det				-	τὸν	 	ὁ	τόν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001005013	MAT 1:5!13		noun	proper			Obed	Ἰωβὴδ	 	Ἰωβήδ	Ἰωβήδ	5601	N-PRI		singular	masculine	accusative					093001	93.192			
n40001005014	MAT 1:5!14		prep				out of	ἐκ	 	ἐκ	ἐκ	1537	PREP									089003	89.3			
n40001005015	MAT 1:5!15		det				-	τῆς	 	ὁ	τῆς	3588	T-GSF		singular	feminine	genitive					092004	92.24			
n40001005016	MAT 1:5!16		noun	proper			Ruth	Ῥούθ	,	Ῥούθ	Ῥούθ	4503	N-PRI		singular	feminine	genitive					093001	93.316			
n40001005017	MAT 1:5!17	s	noun	proper			Obed	Ἰωβὴδ	 	Ἰωβήδ	Ἰωβήδ	5601	N-PRI		singular	masculine	nominative					093001	93.192			
n40001005018	MAT 1:5!18		conj				then	δὲ	 	δέ	δέ	1161	CONJ									089015	89.87			
n40001005019	MAT 1:5!19	v	verb				begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001005017 A1:n40001005021		
n40001005020	MAT 1:5!20		det				-	τὸν	 	ὁ	τόν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001005021	MAT 1:5!21		noun	proper			Jesse	Ἰεσσαί	,	Ἰεσσαί	Ἰεσσαί	2421	N-PRI		singular	masculine	accusative					093001	93.166			
n40001006001	MAT 1:6!1	s	noun	proper			Jesse	Ἰεσσαὶ	 	Ἰεσσαί	Ἰεσσαί	2421	N-PRI		singular	masculine	nominative					093001	93.166			
n40001006002	MAT 1:6!2		conj				then	δὲ	 	δέ	δέ	1161	CONJ									089015	89.87			
n40001006003	MAT 1:6!3	v	verb				begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001006001 A1:n40001006005		
n40001006004	MAT 1:6!4		det				-	τὸν	 	ὁ	τόν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001006005	MAT 1:6!5		noun	proper			David	Δαυεὶδ	 	Δαυίδ	Δαυείδ	1138	N-PRI		singular	masculine	accusative					093001	93.91			
n40001006006	MAT 1:6!6		det				the	τὸν	 	ὁ	τόν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001006007	MAT 1:6!7		noun	common			king	βασιλέα	.	βασιλεύς	βασιλέα	935	N-ASM		singular	masculine	accusative					037004	37.67			
n40001006008	MAT 1:6!8	s	noun	proper			David	Δαυεὶδ	 	Δαυίδ	Δαυείδ	1138	N-PRI		singular	masculine	nominative					093001	93.91			
n40001006009	MAT 1:6!9		conj				then	δὲ	 	δέ	δέ	1161	CONJ									089015	89.87			
n40001006010	MAT 1:6!10	v	verb				begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001006008 A1:n40001006012		
n40001006011	MAT 1:6!11		det				-	τὸν	 	ὁ	τόν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001006012	MAT 1:6!12		noun	proper			Solomon	Σολομῶνα	 	Σολομών	Σολομῶνα	4672	N-ASM		singular	masculine	accusative					093001	93.344			
n40001006013	MAT 1:6!13		prep				out of	ἐκ	 	ἐκ	ἐκ	1537	PREP									089003	89.3			
n40001006014	MAT 1:6!14		det				the [wife]	τῆς	 	ὁ	τῆς	3588	T-GSF		singular	feminine	genitive					092004	92.24			
n40001006015	MAT 1:6!15		det				-	τοῦ	 	ὁ	τοῦ	3588	T-GSM		singular	masculine	genitive					092004	92.24			
n40001006016	MAT 1:6!16		noun	proper			of Uriah	Οὐρίου	,	Οὐρίας	Οὐρίου	3774	N-GSM		singular	masculine	genitive					093001	93.291			
n40001007001	MAT 1:7!1	s	noun	proper			Solomon	Σολομὼν	 	Σολομών	Σολομών	4672	N-NSM		singular	masculine	nominative					093001	93.344			
n40001007002	MAT 1:7!2		conj				then	δὲ	 	δέ	δέ	1161	CONJ									089015	89.87			
n40001007003	MAT 1:7!3	v	verb				begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001007001 A1:n40001007005		
n40001007004	MAT 1:7!4		det				-	τὸν	 	ὁ	τόν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001007005	MAT 1:7!5		noun	proper			Rehoboam	Ῥοβοάμ	,	Ῥοβοάμ	Ῥοβοάμ	4497	N-PRI		singular	masculine	accusative					093001	93.313			
n40001007006	MAT 1:7!6	s	noun	proper			Rehoboam	Ῥοβοὰμ	 	Ῥοβοάμ	Ῥοβοάμ	4497	N-PRI		singular	masculine	nominative					093001	93.313			
n40001007007	MAT 1:7!7		conj				then	δὲ	 	δέ	δέ	1161	CONJ									089015	89.87			
n40001007008	MAT 1:7!8	v	verb				begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001007006 A1:n40001007010		
n40001007009	MAT 1:7!9		det				-	τὸν	 	ὁ	τόν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001007010	MAT 1:7!10		noun	proper			Abijah	Ἀβιά	,	Ἀβιά	Ἀβιά	7	N-PRI		singular	masculine	accusative					093001	93.4a			
n40001007011	MAT 1:7!11	s	noun	proper			Abijah	Ἀβιὰ	 	Ἀβιά	Ἀβιά	7	N-PRI		singular	masculine	nominative					093001	93.4a			
n40001007012	MAT 1:7!12		conj				then	δὲ	 	δέ	δέ	1161	CONJ									089015	89.87			
n40001007013	MAT 1:7!13	v	verb				begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001007011 A1:n40001007015		
n40001007014	MAT 1:7!14		det				-	τὸν	 	ὁ	τόν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001007015	MAT 1:7!15		noun	proper			Asa	Ἀσάφ	,	Ἀσάφ	Ἀσάφ	760	N-PRI		singular	masculine	accusative					093001	93.48			
n40001008001	MAT 1:8!1	s	noun	proper			Asa	Ἀσὰφ	 	Ἀσάφ	Ἀσάφ	760	N-PRI		singular	masculine	nominative					093001	93.48			
n40001008002	MAT 1:8!2		conj				then	δὲ	 	δέ	δέ	1161	CONJ									089015	89.87			
n40001008003	MAT 1:8!3	v	verb				begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001008001 A1:n40001008005		
n40001008004	MAT 1:8!4		det				-	τὸν	 	ὁ	τόν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001008005	MAT 1:8!5		noun	proper			Jehoshaphat	Ἰωσαφάτ	,	Ἰωσαφάτ	Ἰωσαφάτ	2498	N-PRI		singular	masculine	accusative					093001	93.200			
n40001008006	MAT 1:8!6	s	noun	proper			Jehoshaphat	Ἰωσαφὰτ	 	Ἰωσαφάτ	Ἰωσαφάτ	2498	N-PRI		singular	masculine	nominative					093001	93.200			
n40001008007	MAT 1:8!7		conj				then	δὲ	 	δέ	δέ	1161	CONJ									089015	89.87			
n40001008008	MAT 1:8!8	v	verb				begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001008006 A1:n40001008010		
n40001008009	MAT 1:8!9		det				-	τὸν	 	ὁ	τόν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001008010	MAT 1:8!10		noun	proper			Joram	Ἰωράμ	,	Ἰωράμ	Ἰωράμ	2496	N-PRI		singular	masculine	accusative					093001	93.198			
n40001008011	MAT 1:8!11	s	noun	proper			Joram	Ἰωρὰμ	 	Ἰωράμ	Ἰωράμ	2496	N-PRI		singular	masculine	nominative					093001	93.198			
n40001008012	MAT 1:8!12		conj				then	δὲ	 	δέ	δέ	1161	CONJ									089015	89.87			
n40001008013	MAT 1:8!13	v	verb				begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001008011 A1:n40001008015		
n40001008014	MAT 1:8!14		det				-	τὸν	 	ὁ	τόν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001008015	MAT 1:8!15		noun	proper			Uzziah	Ὀζείαν	,	Ὀζίας	Ὀζείαν	3604	N-ASM		singular	masculine	accusative					093001	93.286			
n40001009001	MAT 1:9!1	s	noun	proper			Uzziah	Ὀζείας	 	Ὀζίας	Ὀζείας	3604	N-NSM		singular	masculine	nominative					093001	93.286			
n40001009002	MAT 1:9!2		conj				then	δὲ	 	δέ	δέ	1161	CONJ									089015	89.87			
n40001009003	MAT 1:9!3	v	verb				begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001009001 A1:n40001009005		
n40001009004	MAT 1:9!4		det				-	τὸν	 	ὁ	τόν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001009005	MAT 1:9!5		noun	proper			Jotham	Ἰωαθάμ	,	Ἰωαθάμ	Ἰωαθάμ	2488	N-PRI		singular	masculine	accusative					093001	93.185			
n40001009006	MAT 1:9!6	s	noun	proper			Jotham	Ἰωαθὰμ	 	Ἰωαθάμ	Ἰωαθάμ	2488	N-PRI		singular	masculine	nominative					093001	93.185			
n40001009007	MAT 1:9!7		conj				then	δὲ	 	δέ	δέ	1161	CONJ									089015	89.87			
n40001009008	MAT 1:9!8	v	verb				begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001009006 A1:n40001009010		
n40001009009	MAT 1:9!9		det				-	τὸν	 	ὁ	τόν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001009010	MAT 1:9!10		noun	proper			Ahaz	Ἄχαζ	,	Ἀχάζ	Ἄχαζ	881	N-PRI		singular	masculine	accusative					093001	93.53			
n40001009011	MAT 1:9!11	s	noun	proper			Ahaz	Ἄχαζ	 	Ἀχάζ	Ἄχαζ	881	N-PRI		singular	masculine	nominative					093001	93.53			
n40001009012	MAT 1:9!12		conj				then	δὲ	 	δέ	δέ	1161	CONJ									089015	89.87			
n40001009013	MAT 1:9!13	v	verb				begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001009011 A1:n40001009015		
n40001009014	MAT 1:9!14		det				-	τὸν	 	ὁ	τόν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001009015	MAT 1:9!15		noun	proper			Hezekiah	Ἐζεκίαν	,	Ἑζεκίας	Ἐζεκίαν	1478	N-ASM		singular	masculine	accusative					093001	93.106			
n40001010001	MAT 1:10!1	s	noun	proper			Hezekiah	Ἐζεκίας	 	Ἑζεκίας	Ἐζεκίας	1478	N-NSM		singular	masculine	nominative					093001	93.106			
n40001010002	MAT 1:10!2		conj				then	δὲ	 	δέ	δέ	1161	CONJ									089015	89.87			
n40001010003	MAT 1:10!3	v	verb				begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001010001 A1:n40001010005		
n40001010004	MAT 1:10!4		det				-	τὸν	 	ὁ	τόν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001010005	MAT 1:10!5		noun	proper			Manasseh	Μανασσῆ	,	Μανασσῆ	Μανασσῆ	3128	N-ASM		singular	masculine	accusative					093001	93.251b			
n40001010006	MAT 1:10!6	s	noun	proper			Manasseh	Μανασσῆς	 	Μανασσῆ	Μανασσῆς	3128	N-NSM		singular	masculine	nominative					093001	93.251b			
n40001010007	MAT 1:10!7		conj				then	δὲ	 	δέ	δέ	1161	CONJ									089015	89.87			
n40001010008	MAT 1:10!8	v	verb				begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001010006 A1:n40001010010		
n40001010009	MAT 1:10!9		det				-	τὸν	 	ὁ	τόν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001010010	MAT 1:10!10		noun	proper			Amos	Ἀμώς	,	Ἀμώς	Ἀμώς	301	N-PRI		singular	masculine	accusative					093001	93.23a			
n40001010011	MAT 1:10!11	s	noun	proper			Amos	Ἀμὼς	 	Ἀμώς	Ἀμώς	301	N-PRI		singular	masculine	nominative					093001	93.23a			
n40001010012	MAT 1:10!12		conj				then	δὲ	 	δέ	δέ	1161	CONJ									089015	89.87			
n40001010013	MAT 1:10!13	v	verb				begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001010011 A1:n40001010015		
n40001010014	MAT 1:10!14		det				-	τὸν	 	ὁ	τόν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001010015	MAT 1:10!15		noun	proper			Josiah	Ἰωσείαν	,	Ἰωσίας	Ἰωσείαν	2502	N-ASM		singular	masculine	accusative					093001	93.204			
n40001011001	MAT 1:11!1	s	noun	proper			Josiah	Ἰωσείας	 	Ἰωσίας	Ἰωσείας	2502	N-NSM		singular	masculine	nominative					093001	93.204			
n40001011002	MAT 1:11!2		conj				then	δὲ	 	δέ	δέ	1161	CONJ									089015	89.87			
n40001011003	MAT 1:11!3	v	verb				begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001011001 A1:n40001011005;n40001011008		
n40001011004	MAT 1:11!4		det				-	τὸν	 	ὁ	τόν	3588	T-ASM		singular	masculine	accusative					092004	92.24			
n40001011005	MAT 1:11!5		noun	proper			Jechoniah	Ἰεχονίαν	 	Ἰεχονίας	Ἰεχονίαν	2423	N-ASM		singular	masculine	accusative					093001	93.168			
n40001011006	MAT 1:11!6		conj				and	καὶ	 	καί	καί	2532	CONJ									089017	89.92			
n40001011007	MAT 1:11!7		det				the	τοὺς	 	ὁ	τούς	3588	T-APM		plural	masculine	accusative					092004	92.24			
n40001011008	MAT 1:11!8		noun	common			brothers	ἀδελφοὺς	 	ἀδελφός	ἀδελφούς	80	N-APM		plural	masculine	accusative					010003	10.49			
n40001011009	MAT 1:11!9		pron	personal			of him	αὐτοῦ	 	αὐτός	αὐτοῦ	846	P-GSM		singular	masculine	genitive					092004	92.11			n40001011005
n40001011010	MAT 1:11!10		prep				at [the time]	ἐπὶ	 	ἐπί	ἐπί	1909	PREP									067002	67.33			
n40001011011	MAT 1:11!11		det				of the	τῆς	 	ὁ	τῆς	3588	T-GSF		singular	feminine	genitive					092004	92.24			
n40001011012	MAT 1:11!12		noun	common			carrying away	μετοικεσίας	 	μετοικεσία	μετοικεσίας	3350	N-GSF		singular	feminine	genitive					085005	85.83			
n40001011013	MAT 1:11!13		noun	proper			to Babylon	Βαβυλῶνος	.	Βαβυλών	Βαβυλῶνος	897	N-GSF		singular	feminine	genitive					093002	93.420			
n40001012001	MAT 1:12!1		prep				After	Μετὰ	 	μετά	Μετά	3326	PREP									067002	67.48			
n40001012002	MAT 1:12!2		conj				then	δὲ	 	δέ	δέ	1161	CONJ									089015	89.87			
n40001012003	MAT 1:12!3		det				the	τὴν	 	ὁ	τήν	3588	T-ASF		singular	feminine	accusative					092004	92.24			
n40001012004	MAT 1:12!4		noun	common			carrying away	μετοικεσίαν	 	μετοικεσία	μετοικεσίαν	3350	N-ASF		singular	feminine	accusative					085005	85.83			
n40001012005	MAT 1:12!5		noun	proper			to Babylon	Βαβυλῶνος	 	Βαβυλών	Βαβυλῶνος	897	N-GSF		singular	feminine	genitive					093002	93.420			
n40001012006	MAT 1:12!6	s	noun	proper			Jechoniah	Ἰεχονίας	 	Ἰεχονίας	Ἰεχονίας	2423	N-NSM		singular	masculine	nominative					093001	93.168			
n40001012007	MAT 1:12!7	v	verb				begat	ἐγέννησεν	 	γεννάω	ἐγέννησεν	1080	V-AAI-3S	third	singular			aorist	active	indicative		023003	23.58	A0:n40001012006 A1:n40001012009		
