pdf_page,printed_page,segment,bbox_normalized,raw_ocr,normalized_text,quran_reference,match_score,ocr_confidence,status
25,21,1,"[0.440678, 0.32409, 0.480226, 0.882149]",PNA‏ VN PANY‏ ادعام تقايم جم دك ايم ايم تجاذم نر نح نم ذم ذم نع دز تم ايع ادم ذم دم نم يم يم انم ذم تم احم اتنايم,PNA‏ VN PANY‏ ادعام تقايم جم دك ايم ايم تجاذم نر نح نم ذم ذم نع دز تم ايع ادم ذم دم نم يم يم انم ذم تم احم اتنايم,,0,33.68,ocr_unverified_arabic
30,26,1,"[0.314865, 0.125641, 0.687838, 0.132479]",ممعم مه مووي وميه 0,ممعم مه مووي وميه 0,,0,11.49,ocr_unverified_arabic
33,29,1,"[0.235808, 0.125645, 0.636099, 0.134251]",ع يي يي يي عه‎,ع يي يي يي عه‎,,0,22.63,ocr_unverified_arabic
38,0,1,"[0.473011, 0.339211, 0.512784, 0.878254]",ههه هه DD‏ DD هاه شه هاه ها ماه هاه ماه ها هاه هاه ها هاه هاه هاه هم هاه هاه هاه,ههه هه DD‏ DD هاه شه هاه ها ماه هاه ماه ها هاه هاه ها هاه هاه هاه هم هاه هاه هاه,,0,58.75,ocr_unverified_arabic
40,36,1,"[0.331939, 0.094991, 0.715481, 0.102763]",عع عن أي يي يميم يي وميه,عع عن أي يي يميم يي وميه,,0,22.05,ocr_unverified_arabic
41,7,1,"[0.432511, 0.33677, 0.473149, 0.896048]",انك ان ان ان ان ان ان ان ان ان انا انك ان إن ان انك ان ان إن ال أن أن ال إن لان انا إل انك ان انا ان ان انك ان ان انا انا اا انا الك,انك ان ان ان ان ان ان ان ان ان انا انك ان إن ان انك ان ان إن ال أن أن ال إن لان انا إل انك ان انا ان ان انك ان ان انا انا اا انا الك,,0,47.96,ocr_unverified_arabic
43,39,1,"[0.438438, 0.34589, 0.48048, 0.896404]",ص كص وص كج كحي عق ا ا ا ا قن نوا إن اص ان أن إن إن إن ان ال ان إن أن أن ان أن إل ان اك,ص كص وص كج كحي عق ا ا ا ا قن نوا إن اص ان أن إن إن إن ان ال ان إن أن أن ان أن إل ان اك,,0,45.15,ocr_unverified_arabic
45,41,1,"[0.438218, 0.369805, 0.478448, 0.891433]",هج يج جوج ج ج هج وج جو هن ص صو جص جمس جص هت جه جد رد يديد,هج يج جوج ج ج هج وج جو هن ص صو جص جمس جص هت جه جد رد يديد,,0,32.6,ocr_unverified_arabic
47,43,1,"[0.262482, 0.101266, 0.653352, 0.108017]",يي يي يي يي يي يميه,يي يي يي يي يي يميه,,0,25.84,ocr_unverified_arabic
57,53,1,"[0.259312, 0.131424, 0.651862, 0.139848]",يي يي يي يي يي,يي يي يي يي يي,,0,22.88,ocr_unverified_arabic
64,60,1,"[0.345455, 0.098291, 0.731469, 0.105983]",ss‏ يي يي يي يي يميه,ss‏ يي يي يي يي يميه,,0,16.83,ocr_unverified_arabic
68,64,1,"[0.309838, 0.101884, 0.712188, 0.109589]",عع يي يي ييه,عع يي يي ييه,,0,23.89,ocr_unverified_arabic
69,65,1,"[0.23088, 0.128205, 0.626263, 0.135897]",عع يي يي يي يي يي ييه,عع يي يي يي يي يي ييه,,0,31.03,ocr_unverified_arabic
70,66,1,"[0.311669, 0.133162, 0.553914, 0.140034]",ع يم بم ييه,ع يم بم ييه,,0,21.25,ocr_unverified_arabic
75,7,1,"[0.276923, 0.103627, 0.658741, 0.127807]",يي ع يمي‎,يي ع يمي‎,,0,32.32,ocr_unverified_arabic
84,8,1,"[0.338068, 0.08677, 0.721591, 0.099656]",عع يي يي يي,عع يي يي يي,,0,24.22,ocr_unverified_arabic
91,8,1,"[0.265449, 0.130952, 0.650281, 0.138605]",ع يي يي ويم ييه‎,ع يي يي ويم ييه‎,,0,19.69,ocr_unverified_arabic
107,103,1,"[0.159091, 0.528253, 0.666193, 0.678082]","6 bre‏ )نص # اط
و مر يع ذن له ون رو ند قمر","6 bre‏ )نص # اط
و مر يع ذن له ون رو ند قمر",,0,45.775000000000006,ocr_unverified_arabic
110,106,1,"[0.211648, 0.118512, 0.84375, 0.127163]",عي يي يي يي يي يي يي يي يه‎,عي يي يي يي يي يي يي يي يه‎,,0,29.7,ocr_unverified_arabic
118,,1,"[0.25672, 0.770464, 0.884409, 0.790717]",بويعو م معععيءءء‎ #4 )0( 057 +7623490 L,بويعو م معععيءءء‎ #4 )0( 057 +7623490 L,,0,26.58,ocr_unverified_arabic
120,116,1,"[0.136364, 0.086505, 0.931818, 0.481834]","لعج يي يي يي يه موي وي ع ووم يع وم يي يي مويه
م © ف يوت ها هاج يده
ع ا 6 6 ند 6ك","لعج يي يي يي يه موي وي ع ووم يع وم يي يي مويه
م © ف يوت ها هاج يده
ع ا 6 6 ند 6ك",,0,41.38666666666666,ocr_unverified_arabic
123,119,1,"[0.208215, 0.271967, 0.716714, 0.758159]","م ee ص A‏ أو ضع صمي صم صن ازيم شم ضع لومم صو جل عيضن صم صم موصي شو ليع صو صو اعم صو مم مع
AN‏ لد لد يد لد يد يد يد يد يد يد يد ود ود يد يد ود زد يد يد يد يد يد يد يد لد لد ويد يد ود يد هد","م ee ص A‏ أو ضع صمي صم صن ازيم شم ضع لومم صو جل عيضن صم صم موصي شو ليع صو صو اعم صو مم مع
AN‏ لد لد يد لد يد يد يد يد يد يد يد ود ود يد يد ود زد يد يد يد يد يد يد يد لد لد ويد يد ود يد هد",,0,47.71,ocr_unverified_arabic
140,136,1,"[0.204317, 0.089655, 0.844604, 0.105172]",عع يه يي وي ةي يي يه يي يميه,عع يه يي وي ةي يي يه يي يميه,,0,27.26,ocr_unverified_arabic
147,143,1,"[0.093257, 0.08399, 0.890961, 0.092738]",ع ع عع و يع بويج يي يوي يي يي يي يي يي يي يم يوي,ع ع عع و يع بويج يي يوي يي يي يي يي يي يي يم يوي,,0,23.77,ocr_unverified_arabic
161,157,1,"[0.223011, 0.57069, 0.737216, 0.581034]",.63 « ذد 19 )يماع 1197 14,.63 « ذد 19 )يماع 1197 14,,0,77.49,ocr_unverified_arabic
172,168,1,"[0.432277, 0.170415, 0.677233, 0.892734]","اح عن ص ه هه زع ع | ان له مدي إن له إن ننه إن عرايم نع هد كن نارجن عر ون لج رد مم ون رن إن رد عر إن رق نم اكد إن تن انق إن عو وى سن زع ون عو ايع
رج و و A OOOO‏ هس 0 ان 6١‏ أن ان يد يج رد وج سر رج لج يد عل ون يد رن عررج نم عرز إن نا هد كد آنا زن 00 0١‏ 06ح كد كد ان يد نز اه زناه","اح عن ص ه هه زع ع | ان له مدي إن له إن ننه إن عرايم نع هد كن نارجن عر ون لج رد مم ون رن إن رد عر إن رق نم اكد إن تن انق إن عو وى سن زع ون عو ايع
رج و و A OOOO‏ هس 0 ان 6١‏ أن ان يد يج رد وج سر رج لج يد عل ون يد رن عررج نم عرز إن نا هد كد آنا زن 00 0١‏ 06ح كد كد ان يد نز اه زناه",,0,40.075,ocr_unverified_arabic
176,172,1,"[0.166906, 0.078448, 0.794245, 0.092241]",و يي يه يعي يي ل يي يي وي يه,و يي يه يعي يي ل يي يي وي يه,,0,25.15,ocr_unverified_arabic
197,193,1,"[0.464632, 0.245299, 0.696255, 0.887179]","هوق و ههه ههه ه هه ههه © سه سه © © وه ير مر مر شمر يو مر مره هم مره ترم مره تون مره هاعر
م م ROR‏ و ع PEER‏ ون MN‏ مل عاج ساسم زم وم ان شب سو ون وم شر ايع مر وم شل إن شرج ون شر وعم سو لسو","هوق و ههه ههه ه هه ههه © سه سه © © وه ير مر مر شمر يو مر مره هم مره ترم مره تون مره هاعر
م م ROR‏ و ع PEER‏ ون MN‏ مل عاج ساسم زم وم ان شب سو ون وم شر ايع مر وم شل إن شرج ون شر وعم سو لسو",,0,46.56,ocr_unverified_arabic
198,194,1,"[0.07973, 0.168111, 0.874324, 0.17591]",ع ع يي يي يي يي يي ييه,ع ع يي يي يي يي يي ييه,,0,24.76,ocr_unverified_arabic
202,198,1,"[0.337571, 0.181583, 0.75565, 0.20568]",اما م اا ال م م م مم مل ممم,اما م اا ال م م م مم مل ممم,,0,41.86,ocr_unverified_arabic
204,208,1,"[0.284153, 0.461604, 0.789617, 0.485495]",اا اما اا ماي الاي ل جد م ل م م م م لم ميد و مم يمدي,اا اما اا ماي الاي ل جد م ل م م م م لم ميد و مم يمدي,,0,33.65,ocr_unverified_arabic
210,206,1,"[0.307263, 0.178664, 0.715084, 0.18647]",عع ع يي يي يو ع يويد‎,عع ع يي يي يو ع يويد‎,,0,26.0,ocr_unverified_arabic
211,267,1,"[0.229851, 0.2827, 0.719403, 0.291139]",جم و عي يي و يي يعو ييه,جم و عي يي و يي يعو ييه,,0,24.66,ocr_unverified_arabic
211,267,2,"[0.246269, 0.683544, 0.597015, 0.707173]",يي مي يمي,يي مي يمي,,0,29.1,ocr_unverified_arabic
246,,1,"[0.55496, 0.415438, 0.902145, 0.453599]",(احمد ج ١‏ ص ١١‏ ومسلم),(احمد ج ١‏ ص ١١‏ ومسلم),,0,65.82,ocr_unverified_arabic
253,507,1,"[0.190411, 0.884583, 0.923288, 0.909857]",you‏ to down sent “He أنؤل اليكسه الكتشب مفصلا,إِنۡ هَـٰذَاۤ إِلَّا قَوۡلُ ٱلۡبَشَرِ,74:25,54.55,80.54,canonical_quran_match
261,515,1,"[0.342981, 0.379931, 0.78437, 0.397942]",اجر برجو عبججج-ذذ م‎,اجر برجو عبججج-ذذ م‎,,0,30.05,ocr_unverified_arabic
