verse_reference,chapter_number,text,layout_text,pdf_page,printed_page,bbox,label_present_in_later_edition_csv
2:43,2,"Just as the salat prayers are a specific set of practices, the zakat charity is a specific proportion of one's properties to be given to the needy on regular basis. In Islam, zakat, is 2% of one's capital possessions annually.","Just as the salat prayers are a specific set of practices, the zakat
charity is a specific proportion of one's properties to be given to the needy on
regular basis. In Islam, zakat, is 2% of one's capital possessions annually.",18,6,"[41.0, 2068.895, 1531.999, 2250.939]",False
2:48,2,"The myth of “intercession"" is prevalent in both Christianity and Islam. The Christians claim that Jesus will intercede on their behalf, and the Muslims claim that Muhammad will intercede on their behalf. The divine truth, as shown throughout the Quran, is that neither Jesus nor Muhammad, nor anyone else, will possess the power of intercession. See Appendix 7 for details.","The myth of “intercession"" is prevalent in both Christianity and Islam.
The Christians claim that Jesus will intercede on their behalf, and the Muslims
claim that Muhammad will intercede on their behalf. The divine truth, as shown
throughout the Quran, is that neither Jesus nor Muhammad, nor anyone else,
will possess the power of intercession. See Appendix 7 for details.",18,6,"[42.0, 2248.448, 1534.007, 2539.294]",False
2:67-74,2,"See the Bible's book of Numbers, Chapter 19.","See the Bible's book of Numbers, Chapter 19.",20,8,"[53.0, 2452.494, 1148.003, 2540.13]",False
2:99,2,"Like all previous scriptures, the Quran addresses all the people in the second person singular, as though all the people were one man. Thus, when God says, “We have revealed to you this Quran, ” the word “you”here refers to all the people. See for example 18:27-28. Certain verses are specifically addressed to the prophet to serve as examples and lessons for the rest of us, or to address a specific incident.","Like all previous scriptures, the Quran addresses all the people in the
second person singular, as though all the people were one man. Thus, when
God says, “We have revealed to you this Quran, ” the word “you”here refers to
all the people. See for example 18:27-28. Certain verses are specifically
addressed to the prophet to serve as examples and lessons for the rest of us, or
to address a specific incident.",22,10,"[81.0, 2185.191, 1576.997, 2526.575]",False
2:104,2,The word Ra’ina sounds like a dirty word in one of the old languages.,The word Ra’ina sounds like a dirty word in one of the old languages.,23,11,"[155.0, 2472.123, 1637.986, 2561.566]",True
2:121,2,"See the Biblical teachings on the inside front cover, and Appendix 19.","See the Biblical teachings on the inside front cover, and Appendix 19.",24,12,"[74.0, 2472.191, 1556.983, 2558.909]",False
2:128,2,"Many Muslims entertain the erroneous idea that Muhammad was the source of religious practices in Islam, namely, salat, zakat, fasting, and hajj pilgrimage. However, the Quran teaches us that all religious duties were revealed to us through Abraham. See also 2:183, 2:187, 16:123, 21:73, 22:27, 22:78, and Appendix 8.","Many Muslims entertain the erroneous idea that Muhammad was the
source of religious practices in Islam, namely, salat, zakat, fasting, and hajj
pilgrimage. However, the Quran teaches us that all religious duties were
revealed to us through Abraham. See also 2:183, 2:187, 16:123, 21:73, 22:27,
22:78, and Appendix 8.",25,13,"[156.0, 2266.191, 1651.013, 2553.575]",False
2:135,2,"Those who idolize the prophet Muhammad against his will try to promote the idea that he is the source of all religious guidance in Islam. The Quranic truth teaches us that God Almighty is the source, and that all religious practices in Islam came to us generation after generation through Abraham, not Muhammad. See 2:128.","Those who idolize the prophet Muhammad against his will try to
promote the idea that he is the source of all religious guidance in Islam. The
Quranic truth teaches us that God Almighty is the source, and that all religious
practices in Islam came to us generation after generation through Abraham,
not Muhammad. See 2:128.",26,14,"[75.0, 2252.531, 1566.507, 2544.863]",True
2:142,2,This is another proof that the salat prayers were practiced before Muhammad.,"This is another proof that the salat prayers were practiced before
Muhammad.",27,15,"[163.0, 1835.596, 1656.253, 1967.697]",False
2:143,2,"The Arabs were fanatically prejudiced towards the Ka'ba in Mecca, and when the Qiblah was changed towards Jerusalem, many people who had followed Muhammad were overcome with prejudice and reverted to idolatry. The Muslims, however, learned to overcome their traditional bigotry and prejudice, and submitted to the will of God. After the first Muslims learned to abolish bigotry and fanaticism, the Ka'ba was restored as the eternal direction of Qiblah.","The Arabs were fanatically prejudiced towards the Ka'ba in Mecca,
and when the Qiblah was changed towards Jerusalem, many people who
had followed Muhammad were overcome with prejudice and reverted to
idolatry. The Muslims, however, learned to overcome their traditional bigotry
and prejudice, and submitted to the will of God. After the first Muslims learned
to abolish bigotry and fanaticism, the Ka'ba was restored as the eternal
direction of Qiblah.",27,15,"[162.0, 1967.596, 1658.251, 2367.351]",False
2:146,2,"Both the Old testament and the New testament clearly predict the coming of the “final paraclete” to “show you all truth. ” See the inside cover of this book, and Appendix 19 entitled, “The Bible's Preview of Muhammad.”","Both the Old testament and the New testament clearly predict the
coming of the “final paraclete” to “show you all truth. ” See the inside cover of
this book, and Appendix 19 entitled, “The Bible's Preview of Muhammad.”",27,15,"[163.0, 2366.668, 1660.246, 2551.459]",False
2:154,2,See footnote 3:170.,See footnote 3:170.,28,16,"[85.0, 2360.373, 621.241, 2448.168]",True
2:157,2,Compare the Arabic text of this verse with 33:43 and 33:56.,Compare the Arabic text of this verse with 33:43 and 33:56.,28,16,"[84.0, 2441.28, 1419.245, 2531.833]",False
2:169,2,"Therefore, it must be satan’s work that led many people to invent long lists of prohibitions, then attribute them to God and/or His messenger. The Quran consistently lists four specific dietary prohibitions (see 2:173, 6:145, 16:115). Furthermore, the Quran teaches that those who worship God alone follow the laws decreed by God alone. Specifically, those who follow dietary regulations dictated by other than the Quran are called “idol-worshipers. ”See","Therefore, it must be satan’s work that led many people to invent long
lists of prohibitions, then attribute them to God and/or His messenger. The
Quran consistently lists four specific dietary prohibitions (see 2:173, 6:145,
16:115). Furthermore, the Quran teaches that those who worship God alone
follow the laws decreed by God alone. Specifically, those who follow dietary
regulations dictated by other than the Quran are called “idol-worshipers. ”See",29,17,"[148.0, 2175.123, 1645.995, 2513.703]",False
6:121,6,,,29,17,"[148.0, 2513.703, 1645.995, 2570.133]",True
2:173,2,"Before sacrificing an animal, we must take permission from the creator.","Before sacrificing an animal, we must take permission from the
creator.",30,18,"[62.0, 2426.494, 1553.998, 2555.7]",False
2:183-187,2,"Like all religious practices in Islam, fasting was decreed through Abraham (see 2:128, 3:68, 16:123, 21:73, 22:27, 22:78, and Appendix 8). The injunction prohibiting intercourse throughout the month of fasting is revised here to allow intercourse during the nights of fasting.","Like all religious practices in Islam, fasting was decreed through
Abraham (see 2:128, 3:68, 16:123, 21:73, 22:27, 22:78, and Appendix 8). The
injunction prohibiting intercourse throughout the month of fasting is revised
here to allow intercourse during the nights of fasting.",31,19,"[147.0, 2238.191, 1643.005, 2474.575]",True
2:186,2,"This verse refers especially to the “night of power,"" (see sura 97).","This verse refers especially to the “night of power,"" (see sura 97).",31,19,"[147.0, 2471.779, 1633.998, 2562.993]",False
2:189,2,"The Arabic proverb says, “Do not enter the homes from the back door."" The equivalent English proverb is used here.","The Arabic proverb says, “Do not enter the homes from the back
door."" The equivalent English proverb is used here.",32,20,"[80.0, 2406.448, 1568.989, 2539.199]",True
2:196,2,"Originally decreed through Abraham, like all religious practices in Islam (See 22:27).","Originally decreed through Abraham, like all religious practices in
Islam (See 22:27).",33,21,"[166.0, 2404.331, 1655.002, 2534.575]",True
2:221,2,"Pagans include those who are not Jewish, Christian, or Muslim (see 5:5). Jews, Christians, and Muslims share the common belief in God, the hereafter, the angels, satan, heaven, and hell, and all suffer from various distortions (see 4:153).","Pagans include those who are not Jewish, Christian, or Muslim (see
5:5). Jews, Christians, and Muslims share the common belief in God, the
hereafter, the angels, satan, heaven, and hell, and all suffer from various
distortions (see 4:153).",36,24,"[68.0, 2308.494, 1559.998, 2544.199]",False
2:239,2,"The original teachings of salat were revealed to Abraham, then transmitted to us generation after generation (see 2:128, 16:123, 21:73, and 22:78). Digitized by Goo Original from INDIANA UNIVERSITY","The original teachings of salat were revealed to Abraham, then
transmitted to us generation after generation (see 2:128, 16:123, 21:73, and
22:78).
Digitized by Goo
Original from
INDIANA UNIVERSITY",38,26,"[40.0, 1408.434, 936.252, 1606.945]",False
2:249,2,"See the Bible’s book of Judges, 7:5-8.","See the Bible’s book of Judges, 7:5-8.",39,27,"[156.0, 2471.895, 1045.993, 2557.685]",False
2:254-255,2,"The Christians claim that Jesus will possess the power to intercede at God on the day of judgment, and the Muslims claim that Muhammad will have such power. Our creator, however, teaches us in the Quran that there will be no intercession on the day of judgment, unless such intercession happens to agree with God's decision (see also 2:48, 2:123, 6:5], 6:70, 19:87f 20:109, 21:28, 39:44 and Appendix 7).","The Christians claim that Jesus will possess the power to
intercede at God on the day of judgment, and the Muslims claim that
Muhammad will have such power. Our creator, however, teaches us in the
Quran that there will be no intercession on the day of judgment, unless such
intercession happens to agree with God's decision (see also 2:48, 2:123, 6:5],
6:70, 19:87f 20:109, 21:28, 39:44 and Appendix 7).",40,28,"[77.0, 2191.448, 1569.005, 2536.468]",False
12:259,12,"The period between death and resurrection will seem like one night of sleep, complete with dreams. In fact, most people never realize that they had died. See 6:60, 18:19, and Appendix 14.","The period between death and resurrection will seem like one night of
sleep, complete with dreams. In fact, most people never realize that they had
died. See 6:60, 18:19, and Appendix 14.",41,29,"[132.0, 2085.172, 1656.994, 2263.8]",False
2:260,2,"Those with disease in their hearts (see 74:31) claim that their faith is so strong that they do not need the Quran's miraculous numerical code to augment their faith (See Appendices 1 & 2). But here is Abraham, God's beloved messenger, requesting a sign to reassure his heart. Abraham is a good example (Uswah Hasanah) for all of us, as stated in 60:4 and 60:6.","Those with disease in their hearts (see 74:31) claim that their faith is so
strong that they do not need the Quran's miraculous numerical code to
augment their faith (See Appendices 1 & 2). But here is Abraham, God's
beloved messenger, requesting a sign to reassure his heart. Abraham is a good
example (Uswah Hasanah) for all of us, as stated in 60:4 and 60:6.",41,29,"[161.0, 2262.448, 1656.004, 2553.939]",False
12:275,12,"Usury is any “fixed” percentage of earnings in return for deposited or loaned money. Earnings that fluctuate with investment profits and losses do not constitute usury. It should be noted that the Quran condemns only those who “take"" usury (see 3:130 and 4:161), while those who are forced by circumstance to “pay” usury are considered victims, rather than sinners (see 2:280).","Usury is any “fixed” percentage of earnings in return for deposited or
loaned money. Earnings that fluctuate with investment profits and losses do
not constitute usury. It should be noted that the Quran condemns only those
who “take"" usury (see 3:130 and 4:161), while those who are forced by
circumstance to “pay” usury are considered victims, rather than sinners (see
2:280).",43,31,"[134.0, 2229.898, 1657.014, 2559.12]",False
3:1,3,"See footnote 2:1 and Apendix 1 for the miraculous significance of these Quranic initials. After 1400 years, the mystery of these letters is now unveiled.","See footnote 2:1 and Apendix 1 for the miraculous significance of these
Quranic initials. After 1400 years, the mystery of these letters is now unveiled.",45,33,"[173.0, 2286.191, 1666.993, 2415.812]",True
3:7,3,"Things beyond our imagination and comprehension, such as heaven and hell, are presented in allegorical terms. See Appendix 4.","Things beyond our imagination and comprehension, such as heaven and
hell, are presented in allegorical terms. See Appendix 4.",45,33,"[173.0, 2415.448, 1669.017, 2549.294]",False
3:13,3,See also 8:44.,See also 8:44.,46,34,"[69.0, 2161.895, 477.998, 2247.685]",False
3:19,3,"All God’s messengers delivered one and the same message, namely, submission to the one God. Thus, the first commandment in the Bible’s Old Testament, the New Testament, as well as the Quran, is “You shall not worship except the one God.” See Deuteronomy 6:4, Mark 12:29, and the Quran 21:92.","All God’s messengers delivered one and the same message, namely,
submission to the one God. Thus, the first commandment in the Bible’s Old
Testament, the New Testament, as well as the Quran, is “You shall not
worship except the one God.” See Deuteronomy 6:4, Mark 12:29, and the
Quran 21:92.",46,34,"[69.0, 2240.494, 1562.995, 2528.812]",False
3:24,3,"Relying on wishful thinking, Satan succeeded in convincing multitudes of people that hell is not eternal. Many Muslims are conned into believing that the mere utterance ofuLa Daha Ilia Allah= There is no god except God” will assure them heaven. The Quran states clearly that heaven and hell are eternal, and that the assignment to either place is irreversible (see 2:81-82, 2:167, and Appendix 10).","Relying on wishful thinking, Satan succeeded in convincing multitudes
of people that hell is not eternal. Many Muslims are conned into believing that
the mere utterance ofuLa Daha Ilia Allah= There is no god except God” will
assure them heaven. The Quran states clearly that heaven and hell are eternal,
and that the assignment to either place is irreversible (see 2:81-82, 2:167, and
Appendix 10).",47,35,"[160.0, 2076.494, 1654.998, 2417.199]",False
3:31,3,"To follow and obey the prophet is to uphold the Quran, the whole Quran, and nothing but the Quran (see 6:112-116, and Appendix 11).","To follow and obey the prophet is to uphold the Quran, the whole
Quran, and nothing but the Quran (see 6:112-116, and Appendix 11).",47,35,"[161.0, 2417.123, 1652.989, 2550.939]",False
3:51,3,"See Deuteronomy 6:4, and the Gospel of Mark 12:29-33.","See Deuteronomy 6:4, and the Gospel of Mark 12:29-33.",49,37,"[173.0, 2475.494, 1422.023, 2563.13]",True
3:64,3,"This is “the First Commandment” of the Old Testament, the New Testament, and the Quran (see footnote 3:19). It should be noted that this is a “negative” commandment (You shall NOT worship except God), since people can worship God, and still go to hell (see 11:2,11:26,23:84-90,29:61-63,41:14, and 46:21).","This is “the First Commandment” of the Old Testament, the New
Testament, and the Quran (see footnote 3:19). It should be noted that this is a
“negative” commandment (You shall NOT worship except God), since people
can worship God, and still go to hell (see 11:2,11:26,23:84-90,29:61-63,41:14,
and 46:21).",50,38,"[66.0, 1956.995, 1561.003, 2247.996]",False
3:65-68,3,"Many people are under the erroneous impression that Muhammad is the founder of Islam. The Quran, however, teaches that Abraham is the founder, and that all religious practices, i.e., salat, zakat, fasting, and hajj pilgrimage, were revealed through Abraham, then transmitted to us generation after generation. See also 2:135, 2:183, 3:95, 16:123, 21:73, 22:27, and 22:78.","Many people are under the erroneous impression that Muhammad is
the founder of Islam. The Quran, however, teaches that Abraham is the
founder, and that all religious practices, i.e., salat, zakat, fasting, and hajj
pilgrimage, were revealed through Abraham, then transmitted to us generation
after generation. See also 2:135, 2:183, 3:95, 16:123, 21:73, 22:27, and 22:78.",50,38,"[67.0, 2249.191, 1561.001, 2539.639]",False
3:81,3,"This was part of the “pre-creation” pact that God made with all the people (see 7:172). Note the distinction between a “prophet” and a “messenger;” the prophet is one who was given a scripture, while the messenger merely confirms and preaches existing scriptures. Since Quran is the last scripture, Muhammad is the last prophet.","This was part of the “pre-creation” pact that God made with all the
people (see 7:172). Note the distinction between a “prophet” and a
“messenger;” the prophet is one who was given a scripture, while the
messenger merely confirms and preaches existing scriptures. Since Quran is
the last scripture, Muhammad is the last prophet.",52,40,"[74.0, 2249.918, 1566.245, 2542.731]",True
3:96,3,"There is no doubt that the word “Becca” refers to the famous Arabian city “Mecca.” Although the Quran was revealed through a Meccan man, and all the people around him knew the city as “Mecca/9 the mandatory Quranic spelling came down as “Becca.” This deliberate and profound alteration, as it turned out, serves to prove the divine source of Quran, and that every word, indeed every letter, in the Quran has been divinely designed and divinely preserved. The reader will note that this sura is initialed with the letters “A.L.M.” (verse 1). Therefore, the count of the letter “M” in this sura must conform to the Quran's secret numerical code (see Appendix 1). Had the word “Becca” been written down as “Mecca”, the frequency of occurrence of the letter “M” would have increased by 1, the total will no longer be divisible by 19, and the Quran's secret numerical code would have simply disappeared.","There is no doubt that the word “Becca” refers to the famous Arabian
city “Mecca.” Although the Quran was revealed through a Meccan man, and
all the people around him knew the city as “Mecca/9 the mandatory Quranic
spelling came down as “Becca.” This deliberate and profound alteration, as it
turned out, serves to prove the divine source of Quran, and that every word,
indeed every letter, in the Quran has been divinely designed and divinely
preserved. The reader will note that this sura is initialed with the letters
“A.L.M.” (verse 1). Therefore, the count of the letter “M” in this sura must
conform to the Quran's secret numerical code (see Appendix 1). Had the
word “Becca” been written down as “Mecca”, the frequency of occurrence
of the letter “M” would have increased by 1, the total will no longer be
divisible by 19, and the Quran's secret numerical code would have simply
disappeared.",53,41,"[162.0, 1701.779, 1657.996, 2409.647]",True
3:97,3,"Abraham's footprints were miraculously imprinted on a rock, and can be viewed by all visitors of the Sacred Mosque in Mecca.","Abraham's footprints were miraculously imprinted on a rock, and can
be viewed by all visitors of the Sacred Mosque in Mecca.",53,41,"[163.0, 2414.191, 1654.994, 2545.575]",False
3:111,3,"Historically, for as long as the Muslims upheld the Quran, and nothing but the Quran, they were victorious. When they turned to the invented sources of jurisprudence, such as “Hadith” and “Sunna,” they lost their scientific, social, and military leadership. Compare the history of the first 250 years of Islam, with the Arab-Israeli wars.","Historically, for as long as the Muslims upheld the Quran, and nothing
but the Quran, they were victorious. When they turned to the invented sources
of jurisprudence, such as “Hadith” and “Sunna,” they lost their scientific,
social, and military leadership. Compare the history of the first 250 years of
Islam, with the Arab-Israeli wars.",54,42,"[79.0, 2253.191, 1573.989, 2542.127]",False
3:170,3,"The period between death and resurrection passes on each one of us like one night of sleep (see 2:259 & Appendix 14). Since the martyrs occupy a special position in the hereafter, we should not think of them as dead. As pointed out in all the scriptures, the righteous attain eternal life (see Psalm 37:29, Matthew 22:32, Luke 10:25, and John 17:3).","The period between death and resurrection passes on each one of us
like one night of sleep (see 2:259 & Appendix 14). Since the martyrs occupy a
special position in the hereafter, we should not think of them as dead. As
pointed out in all the scriptures, the righteous attain eternal life (see Psalm
37:29, Matthew 22:32, Luke 10:25, and John 17:3).",59,47,"[141.0, 2253.123, 1633.986, 2542.939]",False
4:3,4,"This is the only mention of polygamy in Quran, and it has to do with giving orphans a home with two parents. Due to ignorance, misunderstanding, and the invention o/“Hadith,” many Muslims are under the false impression that Islam limits polygamy to four wives. The fact is that the Quran, while recommending only one wife, does not place any limit on polygamy (see 4:3, 129). Ironically, those who claim that Islam, and specifically “Hadith,” limits polygamy to four, seem to forget that the prophet left nine wives when he died.","This is the only mention of polygamy in Quran, and it has to do with giving
orphans a home with two parents. Due to ignorance, misunderstanding, and
the invention o/“Hadith,” many Muslims are under the false impression that
Islam limits polygamy to four wives. The fact is that the Quran, while
recommending only one wife, does not place any limit on polygamy (see 4:3,
129). Ironically, those who claim that Islam, and specifically “Hadith,” limits
polygamy to four, seem to forget that the prophet left nine wives when he died.",63,51,"[143.0, 2137.448, 1635.998, 2533.996]",True
4:11,4,"Generally, the man supports a family, while the woman is being supported by a husband; hence, the designation of a double share for the male.","Generally, the man supports a family, while the woman is being
supported by a husband; hence, the designation of a double share for the male.",64,52,"[81.0, 2221.805, 1571.022, 2352.812]",True
4:11,4,One may wish to bequeath a share of his or her estate to needy person(s) or a favorite charity. These donations should be set aside before dividing the estate according to God's law.,"One may wish to bequeath a share of his or her estate to needy
person(s) or a favorite charity. These donations should be set aside before
dividing the estate according to God's law.",64,52,"[79.0, 2352.805, 1572.017, 2538.575]",True
4:15,4,"A woman who can be witnessed by four persons, at four different occasions or at the same occasion, is obviously a corrupting influence on the society, and should be isolated. If she sincerely repents, and God knows our innermost thoughts, then God will create the circumstances that ensure her release from isolation, as stated in 4:16. The punishment for adultery is spelled out in 24:1-2.","A woman who can be witnessed by four persons, at four different
occasions or at the same occasion, is obviously a corrupting influence on the
society, and should be isolated. If she sincerely repents, and God knows our
innermost thoughts, then God will create the circumstances that ensure her
release from isolation, as stated in 4:16. The punishment for adultery is spelled
out in 24:1-2.",65,53,"[147.0, 2203.191, 1642.014, 2543.199]",True
4:24,4,See 60:10.,See 60:10.,66,54,"[80.0, 2269.895, 414.994, 2355.685]",True
4:25,4,"Obviously, the punishment for a married woman who commits adultery could not possibly be death, as claimed by the inventors o/“Hadith” and/or “Sunna.” Otherwise, what is half of the death penalty? See 24:1-2.","Obviously, the punishment for a married woman who commits adultery
could not possibly be death, as claimed by the inventors o/“Hadith” and/or
“Sunna.” Otherwise, what is half of the death penalty? See 24:1-2.",66,54,"[78.0, 2352.494, 1566.993, 2536.294]",True
4:34,4,"This is in fact a Quranic admonition to enjoin the men from beating their wives. In many regions, wife beating is almost a way of life. This verse prohibits wife beating by ordering the men to enlighten the wife first, then using some negative incentives.","This is in fact a Quranic admonition to enjoin the men from beating their
wives. In many regions, wife beating is almost a way of life. This verse prohibits
wife beating by ordering the men to enlighten the wife first, then using some
negative incentives.",67,55,"[148.0, 2302.448, 1641.017, 2540.812]",True
4:46,4,"Apparently, the word “Raa’ina” sounded like a dirty word in the Hebrew language, and some Hebrew speakers abused this relationship.","Apparently, the word “Raa’ina” sounded like a dirty word in the
Hebrew language, and some Hebrew speakers abused this relationship.",68,56,"[68.0, 2407.895, 1558.008, 2538.575]",True
4:48-51,4,"The half-educated who know only part of the Quran, or part of the previous scriptures, are not aware that the Quran clearly states that it is complete, perfect, and shall be the sole source of jurisprudence (5:48-51, 6:38, 6:112-116, 17:73-75). Consequently, they blasphemed against God and the prophet by inventing “Hadith” and “Sunna” then claimed that these Satanic inventions were divine revelations! Futhermore, they used such inventions to abrogate God’s law, and substitute their own traditions (see 24:1-2).","The half-educated who know only part of the Quran, or part of the
previous scriptures, are not aware that the Quran clearly states that it is
complete, perfect, and shall be the sole source of jurisprudence (5:48-51, 6:38,
6:112-116, 17:73-75). Consequently, they blasphemed against God and the
prophet by inventing “Hadith” and “Sunna” then claimed that these Satanic
inventions were divine revelations! Futhermore, they used such inventions to
abrogate God’s law, and substitute their own traditions (see 24:1-2).",69,57,"[154.0, 1991.448, 1650.991, 2379.382]",False
4:56-57,4,"See also 2:26, and Appendix 4.","See also 2:26, and Appendix 4.",69,57,"[154.0, 2379.382, 1650.991, 2434.801]",False
4:59,4,"The messenger and those in charge shall be obeyed, because they uphold and apply the Quran, the whole Quran, and nothing but the Quran.","The messenger and those in charge shall be obeyed, because they
uphold and apply the Quran, the whole Quran, and nothing but the Quran.",69,57,"[154.0, 2434.801, 1650.991, 2545.639]",False
