Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote	VerseId
MAT	2	23	dx5i	figs-activepassive	πληρωθῇ τὸ ῥηθὲν διὰ τῶν προφητῶν	1	what had been spoken through the prophets	See how you translated this in [2:15](../02/15.md) (See: [[rc://en/ta/man/translate/figs-activepassive]])	MAT 2:23
MAT	3	2	hvx8	figs-metonymy	ἤγγικεν…ἡ Βασιλεία τῶν Οὐρανῶν	1	the kingdom of the heavens is near	The phrase **the kingdom of the heavens** refers to God ruling as king. **heavens** refers to the place where God rules from. If your readers would not understand this, you could use an equivalent expression or plain language. Alternate translation: “our God in heaven will soon show himself to be king” (See: [[rc://en/ta/man/translate/figs-metonymy]])	MAT 3:2
MAT	3	3	fl4v	figs-activepassive	οὗτος γάρ ἐστιν ὁ ῥηθεὶς διὰ Ἠσαΐου τοῦ προφήτου λέγοντος	1	For this is he who was spoken of by Isaiah the prophet, saying	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “For John was the one who Isaiah spoke about when he said” (See: [[rc://en/ta/man/translate/figs-activepassive]])	MAT 3:3
MAT	3	3	yhe7	figs-quotesinquotes	ἑτοιμάσατε τὴν ὁδὸν Κυρίου; εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ	1	Make ready the way of the Lord … make his paths straight	Here there is a direct quotation inside a direct quotation, as Mark quotes Isaiah who quotes the messenger. If this would be confusing in your language, you could translate the second direct quotation as an indirect quotation. Alternate translation: “a voice crying out in the wilderness, telling people to make ready the way of the Lord and to make his paths straight” (See: [[rc://en/ta/man/translate/figs-quotesinquotes]])	MAT 3:3
MAT	3	3	s62r	figs-synecdoche	φωνὴ βοῶντος	1		Here, a voice figuratively refers to the messenger who uses his voice to cry out. If this would be misunderstood in your language, you could use an equivalent expression from your culture or plain language. Alternate translation: “people will hear the messenger’s voice as he cries out” (See: [[rc://en/ta/man/translate/figs-synecdoche]])	MAT 3:3
MAT	3	3	n7lh	figs-parallelism	ἑτοιμάσατε τὴν ὁδὸν Κυρίου; εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ	1		**Make ready the way of the Lord** and **make his paths straight** mean the same thing. If this would be confusing in your language, you could combine the two. “Prepare to hear and obey the Lord’s message when he comes”. (See: [[rc://en/ta/man/translate/figs-parallelism]])	MAT 3:3
MAT	3	3	j99i	figs-metaphor	ἑτοιμάσατε τὴν ὁδὸν Κυρίου	1	Make ready the way of the Lord	Isaiah uses a metaphor here of preparing paths or the way that someone will travel on. If someone prepares a path for another, they make the path walkable. If someone in high authority were coming, they would make sure the roads were clear from any hazards. So this metaphor means that the people should prepare themselves to receive the Lord’s message when he comes. If this would be misunderstood in your language, you could use an equivalent metaphor from your culture or use plain speech. Alternate translation: “Prepare to hear and obey the Lord’s message when he comes” (See: rc://en/ta/man/translate/figs-metaphor)	MAT 3:3
MAT	3	4	su9d	figs-idiom	εἶχεν τὸ ἔνδυμα αὐτοῦ ἀπὸ τριχῶν καμήλου	1	had his clothing from the hair of a camel and a leather belt around his waist	**had his clothing from the hair of a camel** means that he wore clothes made from camels’ hair. If your readers would not understand this, you could use an equivalent idiom or use plain language. Alternate translation: “wore clothing made from the hair of a camel” (See: [[rc://en/ta/man/translate/figs-idiom]])	MAT 3:4
MAT	3	5	j8ke	figs-metonymy	Ἱεροσόλυμα, καὶ πᾶσα ἡ Ἰουδαία, καὶ πᾶσα ἡ περίχωρος τοῦ Ἰορδάνου	1	Jerusalem, and all Judea, and all the region around	The words **Jerusalem**, **Judea**, and **the region around the Jordan** are metonyms for the people from those areas. If your readers would not understand this, you could use an equivalent expression or plain language. Alternate translation: “people from Jerusalem, Judea, and the region near the Jordan river” (See: [[rc://en/ta/man/translate/figs-metonymy]])	MAT 3:5
MAT	3	5	zys1	figs-hyperbole	Ἱεροσόλυμα, καὶ πᾶσα ἡ Ἰουδαία, καὶ πᾶσα ἡ περίχωρος	1	Jerusalem, and all Judea, and all the region around	The word **all** is an exaggeration to emphasize that very many people went out. If your readers would misunderstand this, you could use an equivalent expression from your language that depicts many people. Alternate translation: “very many people from Jerusalem, Judea, and the region near the Jordan river” (See: [[rc://en/ta/man/translate/figs-hyperbole]])	MAT 3:5
MAT	3	6	v5xn	figs-activepassive	ἐβαπτίζοντο…ὑπ’ αὐτοῦ	1	being baptized by him	If your language does not use this passive form, you can state this in active form or in another way that is natural in your language. Alternate translation: “John baptized them” (See: [[rc://en/ta/man/translate/figs-activepassive]])	MAT 3:6
MAT	3	7	fjl3	figs-metaphor	γεννήματα ἐχιδνῶν	1	You offspring of vipers, who	Here, **offspring of vipers** means having the characteristic of vipers, which are poisonous snakes. If your readers would not understand what it means, you could use an equivalent metaphor from your culture. Alternatively, you could express the meaning in a nonfigurative way. Alternate translation: “You evil poisonous snakes!” or “You are evil like poisonous snakes!” (See: [[rc://en/ta/man/translate/figs-metaphor]])	MAT 3:7
MAT	3	7	c4cl	figs-rquestion	τίς ὑπέδειξεν ὑμῖν φυγεῖν ἀπὸ τῆς μελλούσης ὀργῆς?	1	who warned you to flee from the coming wrath?	John uses a question to rebuke the Pharisees and Sadducees because they were asking him to baptize them so that God would not punish them, but they did not want to stop sinning. If you would not use a rhetorical question for this purpose in your language, you could translate his words as a statement or an exclamation and communicate the emphasis in another way. Alternate translation: “you cannot flee from God’s wrath like this.” or “do not think that you can escape God’s wrath just because I baptize you.” (See: [[rc://en/ta/man/translate/figs-rquestion]])	MAT 3:7
MAT	3	7	h7ac	figs-personification	φυγεῖν ἀπὸ τῆς μελλούσης ὀργῆς	1	to flee from the coming wrath	The phrase **coming wrath** is being used to refer to God’s punishment. Wrath itself cannot come, but God is the one who causes it to happen. If this might be confusing for your readers, you could express this meaning in a nonfigurative way. Alternate translation: “to flee from God’s wrath which he is bringing against you” (See: [[rc://en/ta/man/translate/figs-personification]])	MAT 3:7
MAT	3	8	s8ac	figs-metaphor	ποιήσατε οὖν καρπὸν ἄξιον τῆς μετανοίας	1	Therefore produce fruit worthy of repentance	The phrase **produce fruit** is a metaphor referring to a person’s actions. Just as a healthy tree bears good fruit, so should someone who love God do good. If your readers would not understand what it means, you could use an equivalent metaphor from your culture. Alternatively, you could express the meaning in a nonfigurative way. Alternate translation: “Let your actions show that you have truly repented” (See: [[rc://en/ta/man/translate/figs-metaphor]])	MAT 3:8
MAT	3	9	anyf	figs-explicit	πατέρα ἔχομεν τὸν Ἀβραάμ	1		They would say **We have Abraham {as} father** because they thought being Abraham’s descendants would protect them from God’s judgement. Alternate translation: “Abraham is our ancestor, so God would not punish us” (See: [[rc://en/ta/man/translate/figs-explicit]])	MAT 3:9
MAT	3	9	s4og	figs-metaphor	πατέρα	1		Here, the word father figuratively means “ancestor.” If your readers would not understand what it means, you could use an equivalent metaphor from your culture. Alternate translation: “Abraham is our ancestor” (See: [[rc://en/ta/man/translate/figs-metaphor]])	MAT 3:9
MAT	3	9	k843	figs-hyperbole	δύναται ὁ Θεὸς ἐκ τῶν λίθων τούτων ἐγεῖραι τέκνα τῷ Ἀβραάμ	1	God is able to raise up children for Abraham from these stones	John uses an exaggeration here to show that God does not need these Pharisees and Sadducees to fulfill his promises which he made to **Abraham**. If our readers would misunderstand this, you could use an equivalent expression from your language that portrays this exaggeration. Alternate translation: “God could make children of Abraham even out of these rocks!” (See: [[rc://en/ta/man/translate/figs-hyperbole]])	MAT 3:9
MAT	3	9	eedc	figs-metaphor	τέκνα τῷ Ἀβραάμ	1		Here, the word children figuratively means “descendants.” If your readers would not understand what it means, you could use an equivalent metaphor from your culture. Alternate translation: “descendants for Abraham” (See: [[rc://en/ta/man/translate/figs-metaphor]])	MAT 3:9
MAT	3	10	d4j5	figs-activepassive	ἤδη δὲ ἡ ἀξίνη πρὸς τὴν ῥίζαν τῶν δένδρων κεῖται; πᾶν οὖν δένδρον μὴ ποιοῦν καρπὸν καλὸν ἐκκόπτεται καὶ εἰς πῦρ βάλλεται	1	But already the ax is placed against the root of the trees. So every tree not producing good fruit is chopped down and is thrown into the fire.	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “the person who is going to cut down the tree has already placed his ax against the roots. So, he will cut down every tree which does not bear good fruit and throw it into the fire” (See: [[rc://en/ta/man/translate/figs-activepassive]])	MAT 3:10
MAT	3	10	a8m8	figs-metaphor	πᾶν οὖν δένδρον μὴ ποιοῦν καρπὸν καλὸν ἐκκόπτεται καὶ εἰς πῦρ βάλλεται	1		**every tree not producing good fruit is chopped down and is thrown into the fire** is a figurative way of describing punishment. If your readers would not understand what it means, you could use an equivalent metaphor from your culture. Alternate translation: “God will certainly punish every person who does not repent of their sins and do good deeds to show it” (See: [[rc://en/ta/man/translate/figs-metaphor]])	MAT 3:10
MAT	3	11	c1xf	figs-explicit	οὐκ εἰμὶ ἱκανὸς τὰ ὑποδήματα βαστάσαι	1	is mightier than I	**carrying…sandals** was a duty of a slave. John is saying implicitly that the one who is coming will be so great that he is not even worthy to be his slave. If it would be helpful to your readers, you could state that explicitly. Alternate translation: “I am not even worthy to be his slave” (See: [[rc://en/ta/man/translate/figs-explicit]])	MAT 3:11
MAT	3	11	gtm7	figs-metaphor	αὐτὸς ὑμᾶς βαπτίσει ἐν Πνεύματι Ἁγίῳ καὶ πυρί	1	He will baptize you with the Holy Spirit and with fire	John is using literal baptism, which puts a person under water, to speak figuratively of spiritual baptism, which cleanses people from their sin. If your readers would not understand what it means, you could use an equivalent metaphor from your culture. Alternate translation: See the UST (See: [[rc://en/ta/man/translate/figs-metaphor]])	MAT 3:11
MAT	3	12	gcq8	figs-metaphor	οὗ τὸ πτύον ἐν τῇ χειρὶ αὐτοῦ	1	whose winnowing fork is in his hand, and he will thoroughly clear off his threshing floor	John is saying figuratively that the Messiah will come prepared to judge people right away. You could express this metaphor as a simile in your translation. It may be helpful to begin a new sentence here in your translation. Alternate translation: “He will already be prepared to judge people, just like a farmer who is ready to thresh grain” (See: [[rc://en/ta/man/translate/figs-metaphor]])	MAT 3:12
MAT	3	12	sq4p	figs-idiom	οὗ τὸ πτύον ἐν τῇ χειρὶ αὐτοῦ	1	whose winnowing fork is in his hand	Here, **in his hand** means the person is ready to act. If your readers would not understand this, you could use an equivalent idiom or use plain language. Alternate translation: “and Christ is holding a winnowing fork because he is ready” (See: [[rc://en/ta/man/translate/figs-idiom]])	MAT 3:12
MAT	3	12	av8l	figs-metaphor	συνάξει τὸν σῖτον αὐτοῦ εἰς τὴν ἀποθήκην…τὸ δὲ ἄχυρον κατακαύσει πυρὶ ἀσβέστῳ	1	gather his wheat into the storehouse … he will burn up the chaff with unquenchable fire	John continues to speak figuratively to describe how the coming Messiah will judge people. The wheat is the part of the crop that is useful. It represents people who are obedient to God, who will be welcomed into his presence. The chaff is the husk that surrounds the grain. It is not useful for anything, so people burn it up.You could express this metaphor as a simile in your translation. It may be helpful to begin a new sentence here. Alternate translation: “He will welcome those who are obedient to God, just as a farmer stores good grain in his barn. But he will punish those who are disobedient to God, just as a farmer burns up the useless chaff” (See: [[rc://en/ta/man/translate/figs-metaphor]])	MAT 3:12
MAT	3	13	zbj9	figs-activepassive	βαπτισθῆναι ὑπ’ αὐτοῦ	1	to be baptized by him	If your language does not use this passive form, you can state this in active form or in another way that is natural in your language. Alternate translation: “so John could baptize him” (See: [[rc://en/ta/man/translate/figs-activepassive]])	MAT 3:13
MAT	3	14	cl7t	figs-rquestion	ἐγὼ χρείαν ἔχω ὑπὸ σοῦ βαπτισθῆναι, καὶ σὺ ἔρχῃ πρός με?	1	I need to be baptized by you, and yet you come to me?	John uses a question to show his surprise at Jesus’ request. If you would not use a rhetorical question for this purpose in your language, you could translate his words as a statement or an exclamation and communicate the emphasis in another way. Alternate translation: “You are more important than I am. I should not baptize you. You should baptize me.” (See: [[rc://en/ta/man/translate/figs-rquestion]])	MAT 3:14
MAT	3	15	h6ca	figs-exclusive	ἡμῖν	1	for us	Here, **us** refers to Jesus and John. Your language may require you to mark these forms. (See: [[rc://en/ta/man/translate/figs-exclusive]])	MAT 3:15
MAT	3	15	wdcu	figs-idiom	πληρῶσαι πᾶσαν δικαιοσύνην	1		**To fulfill all righteousness** means to do everything which God requires someone to do. If your readers would not understand this, you could use an equivalent idiom or use plain language. Alternate translation: “to do everything which God has told us to do” (See: [[rc://en/ta/man/translate/figs-idiom]])	MAT 3:15
MAT	3	16	inf6	figs-activepassive	βαπτισθεὶς	1	But having been baptized	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “After John baptized Jesus” (See: [[rc://en/ta/man/translate/figs-activepassive]])	MAT 3:16
MAT	3	16	jh1v	figs-activepassive	ἀνεῴχθησαν αὐτῷ οἱ οὐρανοί	1	the heavens were opened to him	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “the sky opened up” (See: [[rc://en/ta/man/translate/figs-activepassive]])	MAT 3:16
MAT	3	16	e3na	figs-simile	τὸ Πνεῦμα τοῦ Θεοῦ καταβαῖνον ὡσεὶ περιστερὰν ἐρχόμενον ἐπ’ αὐτόν	1	coming down like a dove	The phrase like a dove could mean: (1) the Spirit looked like a dove as he descended upon Jesus. Alternate translation: “he Spirit come down from heaven, looking like a dove” (2) the Spirit descend upon Jesus as a dove descends from the sky toward the ground. Alternate translation: “The Spirit of God came down from heaven as a dove comes down” (See: rc://en/ta/man/translate/figs-simile)	MAT 3:16
