marker,verse_reference,chapter_number,text,layout_text,pdf_page,printed_page,bbox,bbox_normalized,later_edition_candidates_same_label,exact_match_to_later_edition
*,2:142,2,"“Qiblah” is the direction we face during the contact prayers (Salat,). The Arabs were strongly prejudiced in favor of the Ka’aba as their ‘Qiblah.” The true believers were able to overcome their prejudices, and readily obeyed God and His messenger.","“Qiblah” is the direction we face during the contact prayers (Salat,). The Arabs
were strongly prejudiced in favor of the Ka’aba as their ‘Qiblah.” The true believers
were able to overcome their prejudices, and readily obeyed God and His messenger.",41,22,"[41.638, 619.298, 480.939, 657.447]","[0.080398, 0.866515, 0.928633, 0.919892]",,False
*,2:149,2,One of the glaring proofs of the idolatry committed by today’s “Muslims” is the establishment of Muhammad’s tomb as another “Sacred Mosque. ” The Quran consis tently talks about one “Sacred Mosque. ”,"One of the glaring proofs of the idolatry committed by today’s “Muslims” is the
establishment of Muhammad’s tomb as another “Sacred Mosque. ” The Quran consis
tently talks about one “Sacred Mosque. ”",42,23,"[39.95, 619.748, 480.74, 658.897]","[0.077138, 0.867144, 0.928249, 0.921921]","A glaring proof of the idolatry committed by today's ""Muslims"" is the designation of Muhammad's tomb as a ""Sacred Masjid."" The Quran mentions only one ""Sacred Masjid.""",False
*,2:154,2,"Death is simply another stage. See Footnote 3:169, and Appendix 17.","Death is simply another stage. See Footnote 3:169, and Appendix 17.",43,24,"[42.35, 625.048, 417.642, 637.051]","[0.081773, 0.87456, 0.806414, 0.891354]",The righteous do not really die; they simply leave their bodies here and go to the same Paradise where Adam and Eve once lived. See Appendix 17 for the proof and the details.,False
*,2:155,2,The test is designed to prove that we will worship God ALONE under all circumstances (29:2).,"The test is designed to prove that we will worship God ALONE under all cir
cumstances (29:2).",43,24,"[40.45, 645.948, 479.222, 666.902]","[0.078104, 0.903803, 0.925318, 0.933122]",The test is designed to prove that we worship God alone under all circumstances (29:2).,False
*,2:165-166,2,"Jesus, Mary, Muhammad, Ali, and the saints will disown their idolizers or the Day of Resurrection. See also 16:86, 46:6, and the Gospel of Matthew 7:21-23.","Jesus, Mary, Muhammad, Ali, and the saints will disown their idolizers or
the Day of Resurrection. See also 16:86, 46:6, and the Gospel of Matthew 7:21-23.",44,25,"[40.2, 629.598, 478.347, 654.948]","[0.077621, 0.880926, 0.923628, 0.916396]","Jesus, Mary, Muhammad, Ali, and the saints will disown their idolizers on the Day of Resurrection. See also 16:86, 35:14, 46:6, and the Gospel of Matthew 7:21-23.",False
*,2:172-173,2,"Throughout the Quran, four meats are prohibited (6:145, 16:115, & Appendix 16). Dietary prohibitions beyond these four are described as tantamount to idol worship (6:121). Prohibitions by other than God represent some other “god.""","Throughout the Quran, four meats are prohibited (6:145, 16:115, & Appen
dix 16). Dietary prohibitions beyond these four are described as tantamount to idol
worship (6:121). Prohibitions by other than God represent some other “god.""",45,26,"[41.15, 633.448, 479.338, 666.751]","[0.079455, 0.886313, 0.925542, 0.93291]","Throughout the Quran, only four meats are prohibited (6:145, 16:115, Appendix 16). Dietary prohibitions beyond these four are tantamount to idol worship (6:121,148, 150; 7:32).",False
*,2:178,2,"The Quran clearly discourages capital punishment. Every kind of excuse is provided to spare lives, even the lives of those who commit murder. Often, the victim’s kin may find it better for all concerned, under certain circumstances, to spare the life of the murderer in exchange for an equitable compensation. Additionally, capital punishment is not to be applied, for example, if a woman kills a man, or vice versa.","The Quran clearly discourages capital punishment. Every kind of excuse is pro
vided to spare lives, even the lives of those who commit murder. Often, the victim’s kin
may find it better for all concerned, under certain circumstances, to spare the life of the
murderer in exchange for an equitable compensation. Additionally, capital punishment
is not to be applied, for example, if a woman kills a man, or vice versa.",46,27,"[39.25, 596.948, 480.23, 655.809]","[0.075787, 0.835243, 0.927264, 0.9176]","The Quran clearly discourages capital punishment. Every kind of excuse is provided to spare lives, including the life of the murderer. The victim's kin may find it better, under certain circumstances, to spare the life of the murderer in exchange for an equitable compensation. Also capital punishment is not applicable if, for example, a woman kills a man, or vice versa.",False
*,2:183-187,2,"Like all duties in Islam, fasting came to us through Abraham (22:78, Appendicies 9 & 15). Prior to revelation of the Quran, however, sexual intercourse was prohibited throughout the fasting period. This rule was modified in 2:187 to allow intercourse during the nights of Ramadan.","Like all duties in Islam, fasting came to us through Abraham (22:78, Appen-
dicies 9 & 15). Prior to revelation of the Quran, however, sexual intercourse was
prohibited throughout the fasting period. This rule was modified in 2:187 to allow in
tercourse during the nights of Ramadan.",47,28,"[39.71, 607.748, 480.5, 659.496]","[0.076675, 0.850354, 0.927785, 0.922759]","Like all duties in Submission, fasting was decreed through Abraham (22:78, Appendices 9 & 15). Prior to revelation of the Quran, sexual intercourse was prohibited throughout the fasting period. This rule is modified in 2:187 to allow intercourse during the nights of Ramadan.",False
*,2:189,2,The literal idiom says: “Do not enter the homes through the back doors.”,The literal idiom says: “Do not enter the homes through the back doors.”,48,29,"[40.9, 638.948, 444.686, 651.798]","[0.078973, 0.894009, 0.858633, 0.911988]","The literal Quranic idiom says: ""Do not enter the homes through the back doors."" The question about the phases of the moon is an example of beating around the bush; there were bad ulterior motives behind this question.",False
*,2:190,2,The basic rule regulating all fighting is stated in 60:8-9.,The basic rule regulating all fighting is stated in 60:8-9.,48,29,"[40.9, 651.798, 444.686, 664.648]","[0.078973, 0.911988, 0.858633, 0.929968]","All fighting is regulated by the basic rule in 60:8-9. Fighting is allowed strictly in self-defense, while aggression and oppression are strongly condemned throughout the Quran.",False
*,2:196,2,"While Hajj and ‘Umrah must be observed together during the Sacred Months, ‘Umrah may be observed any time. See the details of Hajj and ‘Umrah in Appendix 15.","While Hajj and ‘Umrah must be observed together during the Sacred Months,
‘Umrah may be observed any time. See the details of Hajj and ‘Umrah in Appendix 15.",49,30,"[40.9, 643.148, 477.142, 664.675]","[0.078973, 0.899885, 0.921301, 0.930006]",See the details of Hajj and 'Umrah in Appendix 15.,False
*,2:197,2,"Hajj can be observed any time during the Sacred Months: Zul Hijjah, Muharram, Safar, and Rabi I. Local governments restrict Hajj to a few days for their own convenience. See 9:37.","Hajj can be observed any time during the Sacred Months: Zul Hijjah, Muhar-
ram, Safar, and Rabi I. Local governments restrict Hajj to a few days for their own
convenience. See 9:37.",50,31,"[38.299, 624.098, 478.176, 658.331]","[0.073951, 0.873231, 0.923298, 0.921129]","Hajj can be observed any time during the Sacred Months: Zul-Hijjah, Muharram, Safar, and Rabi I. Local governments restrict Hajj to a few days for their own convenience. See 9:37",False
*,2:210,2,"If God and His angels show up, everyone will believe, and the test will no longer be valid. This world is a test; it is our last chance to redeem ourselves by denouncing Satan’s challenge and upholding God’s absolute authority (see the INTRODUCTION).","If God and His angels show up, everyone will believe, and the test will no longer
be valid. This world is a test; it is our last chance to redeem ourselves by denouncing
Satan’s challenge and upholding God’s absolute authority (see the INTRODUCTION).",51,32,"[40.2, 623.598, 477.944, 656.841]","[0.077621, 0.872531, 0.92285, 0.919044]","This world is a test; it is our last chance to restore ourselves back into God's kingdom by denouncing idol worship (see the INTRODUCTION). If God and His angels show up, everyone will believe, and the test will no longer be valid.",False
*,2:211,2,"The Quran’s mathematical miracle is a great blessing, and, therefore, bringt with it an awesome responsibility (please see 5:115).","The Quran’s mathematical miracle is a great blessing, and, therefore, bringt
with it an awesome responsibility (please see 5:115).",52,33,"[39.95, 613.148, 478.006, 638.948]","[0.077138, 0.85791, 0.92297, 0.894009]","The Quran's mathematical miracle is a great blessing, and brings with it an awesome responsibility (please see 5:115).",False
*,2:213,2,"All worshipers of God ALONE (Muslims, Christians, and Jews) are truly united since the object of worship is one and the same.","All worshipers of God ALONE (Muslims, Christians, and Jews) are truly united
since the object of worship is one and the same.",52,33,"[39.0, 640.148, 476.834, 661.071]","[0.075304, 0.895688, 0.920707, 0.924963]","All worshipers of God ALONE, from all religions, are truly united.",False
*,2:219,2,"The Arabic root word for ""intoxicants” is “Khamara,” which means ""to veil” or ""cover.” Thus, any material that veils the mind is prohibited. The world now recognizes that the economic benefits reaped by the liquor industry and illicit drug dealers are not worth the traffic fatalities, devastating injuries, birth defects, brain damage to babies, family breakdowns, and other disastrous consequences of alcohol and drugs. Alcoholic beverages in the U.S. carry warnings from the Surgeon General. Check with Alcoholics Anonymous and Gamblers Anonymous for more information. See 5:90-91.","The Arabic root word for ""intoxicants” is “Khamara,” which means ""to veil” or
""cover.” Thus, any material that veils the mind is prohibited. The world now recog
nizes that the economic benefits reaped by the liquor industry and illicit drug dealers
are not worth the traffic fatalities, devastating injuries, birth defects, brain damage to
babies, family breakdowns, and other disastrous consequences of alcohol and drugs.
Alcoholic beverages in the U.S. carry warnings from the Surgeon General. Check with
Alcoholics Anonymous and Gamblers Anonymous for more information. See 5:90-91.",53,34,"[40.46, 574.998, 478.86, 659.235]","[0.078123, 0.804531, 0.924619, 0.922394]","The world now recognizes that the economic benefits from manufacturing alcoholic beverages and illicit drugs are not worth the traffic fatalities, brain damage to children of alcoholic mothers, family crises, and other disastrous consequences. Check with ""Alcoholics Anonymous"" and ""Gamblers Anonymous"" for more information. See also 5:90-91.",False
*,2:229,2,It is unlawful to throw a divorced wife into the street. Housing and alimony are among the divorcee’s rights (2:241).,"It is unlawful to throw a divorced wife into the street. Housing and alimony are
among the divorcee’s rights (2:241).",55,36,"[39.5, 634.398, 477.168, 659.848]","[0.07627, 0.887642, 0.921352, 0.923252]",,False
*,2:238,2,"All five prayers are found in 2:238, 11:114, 17:78, & 24:58. When the Quran was revealed, Salat had already been in existence (Appendices 9 & 15).","All five prayers are found in 2:238, 11:114, 17:78, & 24:58. When the Quran was
revealed, Salat had already been in existence (Appendices 9 & 15).",58,39,"[39.0, 644.248, 478.336, 665.525]","[0.075304, 0.901424, 0.923607, 0.931195]","All five prayers are found in 2:238, 11:114, 17:78, & 24:58. When the Quran was revealed, the Contact Prayers (Salat) had already been in existence (Appendix 9). The details of all five prayers—what to recite and the number of units (Rak'aas) per prayer, etc.—are mathematically confirmed. For example, writing down the number of units for each of the five prayers, next to each other, we get 24434, 19x1286. Also, if we use (±) to represent Sura 1 (Al-Fãtehah), where (±)=the sura number (1), followed by the number of verses (7), followed by the number of each verse, the number of letters in each verse, and the gematrical value of every letter, writing down 2 (±) (±) 4 (±) (±) (±) (±) 4 (±) (±) (±) (±) 3 (±) (±) (±) 4 (±) (±) (±) (±) produces a multiple of 19 (see 1:1).",False
*,2:246,2,"This same history is narrated in the Bible’s Book of I Samuel, Ch. 9 and 10.","This same history is narrated in the Bible’s Book of I Samuel, Ch. 9 and 10.",59,40,"[40.2, 656.348, 471.996, 666.1]","[0.077621, 0.918355, 0.911365, 0.931999]","This same history is narrated in the Bible's Book of I Samuel, Ch. 9 and 10.",False
*,2:252,2,"For the exact, mathematically proven identity of this messenger, see Appendices 2 and 26.","For the exact, mathematically proven identity of this messenger, see Appendices
2 and 26.",60,41,"[38.499, 639.098, 477.933, 660.851]","[0.074337, 0.894219, 0.922829, 0.924655]","In keeping with the mathematical composition of the Quran, God has willed that the name of the messenger mentioned here shall be spelled out mathematically. The discovery of the Quran's miraculous 19-based code has been divinely reserved for God's Messenger of the Covenant. By adding this verse number (252), plus the gematrical value of ""Rashad"" (505), plus the gematrical value of ""Khalifa"" (725) we get 252+505+725 = 1482, or 19x78. Please see Appendices 2 and 26 for the complete details related to the proven identity of God's Messenger of the Covenant, to whom this verse clearly refers.",False
*,2:254,2,One of Satan’s clever tricks is attributing the power of intercession to powerless human idols such as Jesus and Muhammad (Appendix 8).,"One of Satan’s cleverest tricks is attributing the power of intercession to power
less human idols such as Jesus and Muhammad (Appendix 8).",61,42,"[40.45, 644.248, 479.116, 665.625]","[0.078104, 0.901424, 0.925113, 0.931335]",One of Satan's clever tricks is attributing the power of intercession to powerless human idols such as Jesus and Muhammad (Appendix 8).,False
*,2:259,2,The lesson we learn is that the time between death and resurrection passes like one night (see also 18:19-25 and Appendix 17).,"The lesson we learn is that the time between death and resurrection passes like
one night (see also 18:19-25 and Appendix 17).",62,43,"[38.75, 637.748, 478.01, 659.201]","[0.074821, 0.89233, 0.922977, 0.922346]",The lesson we learn here is that the period of death—only the unrighteous die; the righteous go straight to Heaven—passes like one day (see 18:19-25 and Appendix 17).,False
*,2:275-278,2,"If interest on loans or deposits is excessive, it constitutes usury. Many people do not possess the ability, energy, or know-how to invest their money. They do not commit any error by depositing their money with financial institutions, and earning interest. The institutions invest their money on their behalf. Financial institutions oi individuals charging in excess of 15-20% interest Per Annum are committing usury.","If interest on loans or deposits is excessive, it constitutes usury. Many
people do not possess the ability, energy, or know-how to invest their money. They do
not commit any error by depositing their money with financial institutions, and earning
interest. The institutions invest their money on their behalf. Financial institutions oi
individuals charging in excess of 15-20% interest Per Annum are committing usury.",66,47,"[39.7, 594.698, 478.622, 654.053]","[0.076656, 0.832095, 0.924159, 0.915143]","It is an established economic principle that excessive interest on loans can utterly destroy a whole country. During the last few years we have witnessed the devastation of the economies of many nations where excessive interest is charged. Normal interest—less than 20%—where no one is victimized and everyone is satisfied, is not usury.",False
*,2:282,2,"Monetary transactions are the only events where two women substitute for one man. If the witnesses were one man and one woman, the possibility arises that they may marry each other. In this case, the welfare of one party in the transaction may be jeopardized. Oppressive men tend to generalize this verse. m","Monetary transactions are the only events where two women substitute for one
man. If the witnesses were one man and one woman, the possibility arises that they
may marry each other. In this case, the welfare of one party in the transaction may be
jeopardized. Oppressive men tend to generalize this verse.
m",67,48,"[39.95, 615.798, 477.72, 686.37]","[0.077138, 0.861617, 0.922417, 0.960361]","Financial transactions are the ONLY situations where two women may substitute for one man as witness. This is to guard against the real possibility that one witness may marry the other witness, and thus cause her to be biased. It is a recognized fact that women are more emotionally vulnerable than men.",False
*,3:1,3,See Footnote 2:1 and Appendix One.,See Footnote 2:1 and Appendix One.,69,50,"[42.1, 657.198, 244.204, 669.198]","[0.08129, 0.919544, 0.471527, 0.936334]",See Footnote 2:1 and Appendix One.,True
*,3:18,3,"The First Pillar of Islam is “Shahaadah,” professing that there is no other god besides God. The words of “Shahaadah” are decreed in this verse by God Himself: “La Elaaha Ella Allah.” Any other “Shahaadah,” proclaiming that Muhammad is God’s messenger is, by definition, idol-worship. It also violates the major commandments in 2:136, 2:285, 3:84, & 4:150-152 prohibiting any distinction among God’s messengers.","The First Pillar of Islam is “Shahaadah,” professing that there is no other god
besides God. The words of “Shahaadah” are decreed in this verse by God Himself: “La
Elaaha Ella Allah.” Any other “Shahaadah,” proclaiming that Muhammad is God’s
messenger is, by definition, idol-worship. It also violates the major commandments in
2:136, 2:285, 3:84, & 4:150-152 prohibiting any distinction among God’s messengers.",71,52,"[40.9, 602.948, 477.922, 663.094]","[0.078973, 0.843638, 0.922807, 0.927793]","The proclamation of faith (Shahaadah) that is decreed by God is: ""There is no god except God,"" in Arabic ""La Elaaha Ella Allah"" (see also 37:35, 47:19). The corrupted Muslims insist upon adding a second ""Shahaadah"" proclaiming that Muhammad is God's messenger. This is by definition ""Shirk"" (idolatry) and a flagrant defiance of God and His messenger. Additionally, it violates the major commandments in 2:136, 2:285, 3:84, & 4:150-152 prohibiting any distinction among God's messengers. By proclaiming that ""Muhammad is a messenger of God,"" and failing to make the same proclamation for other messengers such as Abraham, Moses, Jesus, Saleh, and Jonah, a distinction is committed and a major commandment is violated.",False
